,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
761,PORSCHE Carrera Targa,3.6,6,Man-6,4WD,Gasoline,small car,6,17,25,20,6,no
762,PORSCHE Cayenne,3.6,6,Man-6,4WD,Gasoline,SUV,6,14,20,16,4,no
763,PORSCHE Cayenne,3.6,6,Auto-L6,4WD,Gasoline,SUV,6,14,20,16,4,no
764,PORSCHE Cayenne S,4.8,8,Auto-L6,4WD,Gasoline,SUV,7,13,19,15,3,no
765,PORSCHE Cayenne Turbo,4.8,8,Auto-L6,4WD,Gasoline,SUV,6,12,19,14,2,no
766,PORSCHE Cayman,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19,26,21,6,yes
767,PORSCHE Cayman,2.7,6,Man-6,2WD,Gasoline,small car,7,19,28,22,6,yes
768,PORSCHE Cayman,2.7,6,Man-5,2WD,Gasoline,small car,7,20,29,23,7,yes
769,PORSCHE Cayman S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18,25,21,6,yes
770,PORSCHE Cayman S,3.4,6,Man-6,2WD,Gasoline,small car,7,18,26,21,6,yes
771,ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,midsize car,6,13,19,15,3,no
772,ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,small car,6,13,19,15,3,no
773,ROUSH Stage 3 F150,5.4,8,Auto-L4,2WD,Gasoline,pickup,7,11,15,13,1,no
774,ROUSH Stage 3 F150,5.4,8,Auto-L4,4WD,Gasoline,pickup,7,11,15,13,1,no
775,ROUSH Stage 3 Mustang,4.6,8,Auto-L5,2WD,Gasoline,small car,7,14,20,16,4,no
776,ROUSH Stage 3 Mustang,4.6,8,Man-5,2WD,Gasoline,small car,7,15,20,17,4,no
777,SAAB 9-3 Convertible,2.0,4,Auto-S5,2WD,Gasoline,small car,6,18,24,20,6,no
778,SAAB 9-3 Convertible,2.0,4,Man-6,2WD,Gasoline,small car,6,18,27,22,6,no
779,SAAB 9-3 Convertible,2.8,6,Auto-S6,2WD,Gasoline,small car,6,15,24,18,5,no
780,SAAB 9-3 Convertible,2.8,6,Man-6,2WD,Gasoline,small car,6,16,26,19,5,no
781,SAAB 9-3 Sport Sedan,2.0,4,Auto-S5,2WD,Gasoline,small car,6,19,26,21,6,no
782,SAAB 9-3 Sport Sedan,2.0,4,Man-6,2WD,Gasoline,small car,6,19,29,23,7,yes
783,SAAB 9-3 Sport Sedan,2.8,6,Auto-S6,2WD,Gasoline,small car,6,15,24,18,5,no
